Sentence,Label

 Please forward back with any changes you might make.,2

 Please communicate with Mark Holsworth.,2

 Andy - can you please forward this email to your book person to change these attached deals from ENA- PGL  to ENA - and the actual counterparty.,2

 please schedule,2

 Could you give me a brief description of what this is?,2

 If you could also please copy Brian and myself with that,2

 Please make review and if,2

 >Could you check the work phone for Joseph Brophy.,2

 Give me a call.,2

" Please comment,",2

 Brant - Can you give us an update on Badak?,2

" publications are available, please reply to this message with",2

" Jeff, can you verify the mdq's in yellow below?",2

 Please respond to <drhunt@watervalley.net>,2

 Please re-issue today.,2

" Please, give me the number of copies and I can order on your behalf at 15%",2

 Please co-ordinate with Robert and make sure that someone,2

 Please call Ben Jacoby to get things going.,2

" Consequently, PLEASE RETAIN any and all documents, including all drafts, electronic documents, and email, that relate in any fashion to the 8K filing.",2

" Please, ask Shirley to resubmit.",2

" Ben/Fred/Rebecca, could you please",2

" Deborah, please print out and file.",2

" Please, register me for this.",2

 Please review and email Michelle your comments to this,2

 Please use 503-464-2663 to participate in all of the meetings listed,2

 Please have them executed and,2

 Give me a call because I really want this to happen.,2

" Please respond by 10 a.m. on Wednesday, November 8.",2

 If anyone needs help facilitating this process please coordinate with Chris Lambie (974 - 6780).,2

" CP, please followup on the 2 email failure messages and delete.",2

 cleared before next month and we really need your help resolving these.,2

 So please respond now!,2

 Can you check on,2

 check this out and see what they,2

" in your view, please proceed with execution.",2

 In my absence please contact Barbara for coordination of legal,2

 Call me when your,2

" $225,000 and we need your help.",2

 Please come to the Enron Lobby and ask for me,2

 Please reference the order tracking number.,2

 Please contact me at your earliest convenience at 713-853-1586.,2

 Please direct questions about this report to,2

 Please post the JP MOrgan doc. on our site,2

 Can you please send us your excel spreadsheets that were used for generated,2

 Please review the following ticketed itinerary,2

" facilities, please reply or give me a call.",2

 will you send this list to everyone Pat's and Daren's group,2

 Give me a call in January on this.,2

 plz respond with comments asap.,2

 Don can you try and find a time next week with Lew,2

 Please get back to me with the selection.,2

 PLEASE CALL 973-376-0005 ask for Order Dept.www.winelibrary.com,2

" are acceptable, please print out two originals for execution by ENA and",2

" Please, call Shirley Crenshaw (X3-5290) to coordinate and order sandwich",2

 Please review the attached amendment to see if it sets forth your,2

" I am interested in the crib ,  please give me a call.",2

 Would you make sure none of,2

" Thanks and please call me if you have questions, comments, etc.",2

 please correct per your calculation,2

 Please review the,2

" I know you distribution list is long, but can you please make sure I am on",2

" just send me a quick e-mail, and copy Bill Williams III (real time manager),",2

 Just please coordinate the format with Keith.,2

 Please review for possible signing by Steve Harris on today.,2

" field, please plan on attending this incite full presentation.",2

 Please set a meeting to talk through this contract with Sami.,2

" Per my voice mail, please respond about RMT vs. ENA.",2

 Please configure their access for both floors and then confirm back to us when completed.,2

 Can you please handle and ensure this is processed today.,2

 Take a look at the worksheet and give me a call.,2

 Could you please add Derek Baily (dbailey) to the TDS and sitara access list?,2

 Please take a few minutes to completely fill out the following,2

" Because of the limited amount of dial-in ports, please gather in groups and call from a land-line phone by 9",2

 Please approve and autoschedule.,2

 Can you set up a 5 minute mtg with me and all of the assistants and runners,2

" Please, contact Rudi Zipter to set up an interview with him and David Port.",2

 Could you please take a moment to rspond on the attached.,2

 call me at the room when you get to the hotel.,2

" Please call me before you leave, and yes, you",2

" To send  a message to  all the people  currently subscribed to  the list,",2

" Steve, please add Victor and myself to your email distribution.",2

 you please call Dale Onrait at 250-712-2195 and have him liquidate the,2

 Daren would you look at the price for 29 and 30th of March 2000 .,2

 Please call me if you would like to discuss.,2

 Please take a minute to review the list and provide any bulleted,2

 Mark,2

" Everyone, pls forward to me ASAP your list of top customers you want invited",2

" Kimat, please forward to the Canadian Book Admin.",2

 Could you email me the list of issues you have encountered thus far.,2

 Please provide comments to the project director Amy Jaffe or the task force,2

" check out the Hot Issues of the day, browse through help topics and view",2

 Please plan to attend.,2

 Can you e-mail to me the new Canadian Annex?,2

 Susan,2

 I don't know what that means could you please clarify?,2

 Please respond to lgibson@ogwb.com,2

" Audrey, can you open these documents?",2

 Could you please resend it?,2

 Please acknowledge receipt.,2

" I need your help regarding the above counterparties  As you probably know, at",2

 Can you please forward me the cost centre to,2

" If you made an update during this period, please return to eHRonline and review your information particularly for the following four categories",2

 call me when you get in please.,2

 Could you please respond as soon as possible to this email (or directly to,2

 Would you research this please?,2

 Please remove her from all,2

 Susan,2

 Please respond to Chris_Germany@enron.com,2

 Please make plans to attend this very important and,2

" share a roll, e-mail select pictures, download photos, send a photo",2

" Please, send me your fax  #  for more info.",2

 Will you please create a new product that reads as follows,2

" Also, please check on the kingsgate to malin and stanfield to malin for next",2

" To view the Group members, please open the ECT Address book, click on Groups,",2

 please contact the ISC Call Center at 713-345-4727.,2

" Kay, Please review the attached.",2

 Please review and provide your thoughts.,2

 Please send me any agenda items you'd like to cover in the next meeting by,2

 Please review and let's discuss.,2

 give me a call with any comments on the documents or with any queries,2

 Please contact the ISC Call Center at (713) 345-4727.,2

 Please send to Ben,2

 Please respond to korydegan4034@publicist.com,2

 Please insert names and other,2

 Please follow the steps to reset and synchronize your passwords.,2

 Please send all four contracts directly to John Peyton,2

 PLEASE REVIEW THE NOTICE AND DISCLAIMER BELOW,2

 Please look into this and let me,2

 509402.  Can you see if this is the correct CP.,2

 Please make sure this is clearly understood by the schedulers.,2

 pls print for me on Monday--thanks.,2

" yet been sent out, could one of you please handle this?",2

 Others - please review,2

" services, please respond to this email or contact Jeff Steele at",2

 Could you please approve HSC Basis for Oct?,2

 Please respond to a_jimenezcrespo@mailcity.com,2

 Please send me the March Risk numbers.,2

 Please call me or Tracy Cummins at (713) 856-6525 with any questions.,2

 Please respond to paul_rodrigue@bigfoot.com,2

 Can you please check Sean or Dianna book because I have it checked as,2

 Please email everyone with,2

 Please see the latest revision to the proposed MOU.,2

 this transmission in error please notify me immediately.,2

 Please plan on attending with me',2

 can you please ch the time to 2,2

 Please confirm your attendance,2

